images,globules,milia_like_cyst,negative_network,pigment_network,streaks
pix2pix_result/label2skin/test_latest/images/ISIC_0015062_semantic_synthesized_image.jpg,0,1,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0014537_semantic_synthesized_image.jpg,0,1,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0002879_semantic_synthesized_image.jpg,0,1,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0014013_semantic_synthesized_image.jpg,0,0,1,1,0
pix2pix_result/label2skin/test_latest/images/ISIC_0014328_semantic_synthesized_image.jpg,0,0,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0014386_semantic_synthesized_image.jpg,0,1,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0014195_semantic_synthesized_image.jpg,1,0,0,0,1
pix2pix_result/label2skin/test_latest/images/ISIC_0000243_semantic_synthesized_image.jpg,1,0,0,1,0
pix2pix_result/label2skin/test_latest/images/ISIC_0010239_semantic_synthesized_image.jpg,0,1,1,1,0
pix2pix_result/label2skin/test_latest/images/ISIC_0015481_semantic_synthesized_image.jpg,0,0,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0000166_semantic_synthesized_image.jpg,0,0,0,1,0
pix2pix_result/label2skin/test_latest/images/ISIC_0005187_semantic_synthesized_image.jpg,0,1,0,1,0
pix2pix_result/label2skin/test_latest/images/ISIC_0000426_semantic_synthesized_image.jpg,1,0,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0009971_semantic_synthesized_image.jpg,0,0,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0014080_semantic_synthesized_image.jpg,0,0,0,1,0
pix2pix_result/label2skin/test_latest/images/ISIC_0000509_semantic_synthesized_image.jpg,0,1,0,1,0
pix2pix_result/label2skin/test_latest/images/ISIC_0015233_semantic_synthesized_image.jpg,0,1,0,0,0
pix2pix_result/label2skin/test_latest/images/ISIC_0014952_semantic_synthesized_image.jpg,0,0,0,1,0
